,Both,CountryCode,Secondary,Primary,Country,Mortality
833,..,,47.79567,4.34201,,
834,..,,47.79567,4.15255,,
835,..,,47.79567,2.61416,,
836,..,,47.79567,6.83978,,
837,..,,47.79567,22.99368,,
838,..,,47.79567,11.03201,,
839,..,,47.79567,..,,
840,..,,47.79567,22.26003,,
841,..,,47.79567,10.66408,,
842,..,,47.79567,8.01748,,
843,..,,47.79567,3.71165,,
844,..,,47.79567,2.75513,,
845,..,,47.79567,,,
846,..,,47.79567,,,
847,..,,47.79567,,,
848,..,,47.79567,,,
849,..,,47.79567,,,
850,..,,47.79567,,,
851,..,,25.0921,..,,
852,..,,25.0921,15.08671,,
853,..,,25.0921,..,,
854,..,,25.0921,..,,
855,..,,25.0921,6.27012,,
856,..,,25.0921,..,,
857,..,,25.0921,..,,
858,..,,25.0921,..,,
859,..,,25.0921,..,,
860,..,,25.0921,..,,
861,..,,25.0921,9.81407,,
862,..,,25.0921,20.36703,,
863,..,,25.0921,20.46128,,
864,..,,25.0921,11.21139,,
865,..,,25.0921,23.00016,,
866,..,,25.0921,11.18052,,
867,..,,25.0921,10.00761,,
868,..,,25.0921,12.35377,,
869,..,,25.0921,6.72871,,
870,..,,25.0921,2.9226,,
871,..,,25.0921,6.83978,,
872,..,,25.0921,4.20922,,
873,..,,25.0921,3.02331,,
874,..,,25.0921,6.13284,,
875,..,,25.0921,4.15171,,
876,..,,25.0921,9.71081,,
877,..,,25.0921,2.55844,,
878,..,,25.0921,22.1755,,
879,..,,25.0921,2.89136,,
880,..,,25.0921,2.15194,,
881,..,,25.0921,3.94069,,
882,..,,25.0921,..,,
883,..,,25.0921,9.81407,,
884,..,,25.0921,12.28954,,
885,..,,25.0921,4.39052,,
886,..,,25.0921,3.07241,,
887,..,,25.0921,4.34201,,
888,..,,25.0921,4.15255,,
889,..,,25.0921,2.61416,,
890,..,,25.0921,6.83978,,
891,..,,25.0921,22.99368,,
892,..,,25.0921,11.03201,,
893,..,,25.0921,..,,
894,..,,25.0921,22.26003,,
895,..,,25.0921,10.66408,,
896,..,,25.0921,8.01748,,
897,..,,25.0921,3.71165,,
898,..,,25.0921,2.75513,,
899,..,,25.0921,,,
900,..,,25.0921,,,
901,..,,25.0921,,,
902,..,,25.0921,,,
903,..,,25.0921,,,
904,..,,25.0921,,,
905,..,,23.4286,..,,
906,..,,23.4286,15.08671,,
907,..,,23.4286,..,,
908,..,,23.4286,..,,
909,..,,23.4286,6.27012,,
910,..,,23.4286,..,,
911,..,,23.4286,..,,
912,..,,23.4286,..,,
913,..,,23.4286,..,,
914,..,,23.4286,..,,
915,..,,23.4286,9.81407,,
916,..,,23.4286,20.36703,,
917,..,,23.4286,20.46128,,
918,..,,23.4286,11.21139,,
919,..,,23.4286,23.00016,,
920,..,,23.4286,11.18052,,
921,..,,23.4286,10.00761,,
922,..,,23.4286,12.35377,,
923,..,,23.4286,6.72871,,
924,..,,23.4286,2.9226,,
925,..,,23.4286,6.83978,,
926,..,,23.4286,4.20922,,
927,..,,23.4286,3.02331,,
928,..,,23.4286,6.13284,,
929,..,,23.4286,4.15171,,
930,..,,23.4286,9.71081,,
931,..,,23.4286,2.55844,,
932,..,,23.4286,22.1755,,
933,..,,23.4286,2.89136,,
934,..,,23.4286,2.15194,,
935,..,,23.4286,3.94069,,
