,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
54,Curaçao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CUW
55,Cyprus,..,20.42647,21.78482,21.95988,22.91165,29.00915,31.22217,31.88653,30.981,30.00447,30.78258,28.48216,31.56456,31.94484,31.90117,31.04803,26.49703,22.51317,21.23984,21.04757,21.21959,20.84929,22.80079,2.33119,3.22094,3.86853,4.14283,3.62397,..,2.04864,1.59503,2.18324,1.21913,1.1802,1.30564,0.25357,0.48307,0.75805,1.33024,1.15315,0.53519,0.7571,1.6544,2.06695,2.20739,1.84089,..,..,..,CYP
56,Czechia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CZE
57,Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.33907,..,..,..,..,..,..,..,..,..,PRK
58,Democratic Republic of the Congo,..,45.70681,46.52901,..,..,42.21976,..,..,..,39.88375,..,..,..,35.80408,34.58494,..,..,..,43.51461,..,..,45.92722,46.86983,47.53673,47.37639,44.07243,..,..,..,64.10652,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,COD
59,Denmark,..,..,..,..,..,..,..,..,..,..,..,4.40714,3.59843,1.84247,1.07157,0.97437,1.37249,1.0121,0.84928,2.05165,2.15877,1.68383,2.66252,3.16742,1.42139,1.55253,1.9101,..,..,1.70927,1.29606,..,..,..,1.14757,3.18367,2.71882,2.13632,2.30495,2.40998,2.64583,1.6578,1.24206,0.95075,1.26249,1.038,0.62651,..,..,DNK
60,Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.45443,77.47466,77.59448,77.4609,77.1775,76.41022,..,75.62768,76.93565,76.1261,75.09374,75.55734,76.51147,..,77.33722,76.62975,74.21855,72.62426,..,68.64144,66.83933,63.96183,59.98932,55.93099,56.45517,..,48.87255,..,49.07177,42.60698,47.70464,50.58745,48.10267,46.24225,DJI
61,Dominica,..,..,..,..,..,..,6.56724,5.42755,..,9.75578,12.94102,11.02764,11.72051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.21013,2.96344,4.08805,10.89804,10.56751,1.23235,..,..,..,..,..,..,1.05417,..,..,DMA
62,Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.34659,13.32577,..,9.35417,12.80875,14.48056,13.06398,14.21527,9.05868,12.6479,8.79729,7.88551,6.47486,7.36817,7.2949,8.87819,4.95945,4.82421,5.52979,..,DOM
63,Ecuador,..,20.72355,..,20.2517,18.99693,19.17845,18.69527,15.74895,13.96384,11.13663,12.43847,..,..,..,..,..,..,..,..,..,..,..,..,..,7.37098,6.99912,5.88102,3.53126,2.95044,3.04335,2.4918,0.75747,..,..,..,..,..,..,1.42681,2.30411,..,..,2.34191,0.92228,1.04198,0.82982,1.0074,..,..,ECU
64,Egypt,..,49.57236,49.45665,49.69123,..,..,..,..,46.66835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.40956,..,..,19.13586,..,18.74407,16.27947,14.42244,12.57126,10.57586,7.86517,..,..,..,..,..,..,..,2.90501,..,2.87472,..,0.81975,0.83096,..,EGY
